Customer_ID,Bandwidth_Mbps,Price_Per_Mbps,Monthly_Internet_Fee,Years_With_Company,Customer_Type,Company_Size,Strategic_Category,Strategic_Level,Has_VoIP,Monthly_VoIP_Fee,Has_Server,Server_Type,Monthly_Server_Fee,Support_Tickets_Last_Year,Downtime_Hours_Last_Year,Contract_Type,Total_Monthly_Revenue,Number_of_Services,High_Value
C00001,10,320000,3200000,4.2,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.8,Monthly,3200000.0,1,0
C00002,10,385000,3850000,1.5,Personal,Small,Normal,0,0,0.0,0,,0.0,3,4.8,Monthly,3850000.0,1,0
C00003,20,335000,6700000,0.9,Personal,Small,Normal,0,0,0.0,0,,0.0,3,5.6,Monthly,6700000.0,1,0
C00004,50,315000,15750000,3.1,Personal,Small,Normal,0,0,0.0,0,,0.0,2,1.3,Monthly,15750000.0,1,0
C00005,30,350000,10500000,2.2,Personal,Small,Normal,0,0,0.0,0,,0.0,5,6.3,Monthly,10500000.0,1,0
C00006,100,285000,28500000,8.0,Business,Medium,Small Business,1,0,0.0,0,,0.0,0,2.8,Annual,28500000.0,1,0
C00007,100,280000,28000000,2.8,Business,Small,Small Business,1,1,453701.0,0,,0.0,4,3.4,Monthly,28453701.0,2,0
C00008,100,265000,26500000,8.3,Business,Small,Small Business,1,1,780519.0,0,,0.0,3,6.1,Monthly,27280519.0,2,0
C00009,10,330000,3300000,5.0,Personal,Small,Normal,0,0,0.0,0,,0.0,2,6.2,Monthly,3300000.0,1,0
C00010,20,355000,7100000,0.3,Personal,Small,Normal,0,0,0.0,0,,0.0,0,4.3,Monthly,7100000.0,1,0
C00011,20,300000,6000000,1.3,Personal,Small,Normal,0,0,0.0,0,,0.0,4,7.5,Monthly,6000000.0,1,0
C00012,100,250000,25000000,6.4,Business,Small,Small Business,1,0,0.0,0,,0.0,0,3.6,Annual,25000000.0,1,0
C00013,20,320000,6400000,9.7,Personal,Small,Normal,0,0,0.0,0,,0.0,2,6.5,Annual,6400000.0,1,0
C00014,300,200000,60000000,5.5,Government,Large,Government,3,0,0.0,0,,0.0,2,7.9,Annual,60000000.0,1,1
C00015,20,370000,7400000,1.8,Business,Small,Small Business,1,1,1033037.0,1,Shared,2691635.0,5,7.0,Monthly,11124672.0,3,0
