Customer_ID,Bandwidth_Mbps,Price_Per_Mbps,Monthly_Internet_Fee,Years_With_Company,Customer_Type,Company_Size,Strategic_Category,Strategic_Level,Has_VoIP,Monthly_VoIP_Fee,Has_Server,Server_Type,Monthly_Server_Fee,Support_Tickets_Last_Year,Downtime_Hours_Last_Year,Contract_Type,Total_Monthly_Revenue,Number_of_Services,High_Value,Revenue_Score,Strategic_Score,Services_Score,Company_Size_Score,Customer_Priority_Score
C00006,100,285000,28500000,8.0,Business,Medium,Small Business,1,0,0.0,0,,0.0,0,2.8,Annual,28500000.0,1,0,17.92441241278737,26.0,27.5,26.2,22.217206206393683
C00007,100,280000,28000000,2.8,Business,Small,Small Business,1,1,453701.0,0,,0.0,4,3.4,Monthly,28453701.0,2,0,17.891610738071968,26.0,35.6,25.8,23.355805369035984
C00008,100,265000,26500000,8.3,Business,Small,Small Business,1,1,780519.0,0,,0.0,3,6.1,Monthly,27280519.0,2,0,17.06044085652024,26.0,35.6,25.8,22.940220428260123
C00012,100,250000,25000000,6.4,Business,Small,Small Business,1,0,0.0,0,,0.0,0,3.6,Annual,25000000.0,1,0,15.444750616551964,26.0,27.5,25.8,20.917375308275982
C00014,300,200000,60000000,5.5,Government,Large,Government,3,0,0.0,0,,0.0,2,7.9,Annual,60000000.0,1,1,40.24136857890604,63.6,27.5,56.8,45.48568428945302
C00015,20,370000,7400000,1.8,Business,Small,Small Business,1,1,1033037.0,1,Shared,2691635.0,5,7.0,Monthly,11124672.0,3,0,5.614430401741839,26.0,63.2,25.8,21.35721520087092
C00016,100,250000,25000000,4.4,Business,Medium,Small Business,1,1,1383897.0,0,,0.0,3,4.7,Monthly,26383897.0,2,0,16.425206765359047,26.0,35.6,26.2,22.682603382679524
C00017,50,280000,14000000,9.0,Business,Medium,Small Business,1,1,810109.0,0,,0.0,5,7.7,Annual,14810109.0,2,0,8.225469639265391,26.0,35.6,26.2,18.582734819632694
C00018,150,230000,34500000,5.2,Government,Large,Government,3,1,475617.0,1,Shared,12637701.0,6,8.7,Monthly,47613318.0,3,1,31.465716539615524,63.6,63.2,56.8,46.45285826980776
C00019,200,250000,50000000,4.9,Business,Medium,Small Business,1,1,1014125.0,1,VPS,18311479.0,6,7.5,Monthly,69325604.0,3,1,46.84832399765464,26.0,63.2,26.2,42.03416199882732
C00020,150,260000,39000000,9.0,Business,Small,Small Business,1,1,1749697.0,0,,0.0,8,9.1,Annual,40749697.0,2,0,26.60301403174722,26.0,35.6,25.8,27.71150701587361
C00021,50,285000,14250000,7.7,Business,Medium,Small Business,1,0,0.0,1,Dedicated,14830358.0,6,6.5,Annual,29080358.0,2,0,18.335581430141538,26.0,35.6,26.2,23.637790715070768
